data,id_1,id_2,id_3
tôi cần mua áo sơ mi,1,1,1
tôi cần mua áo sơ mi xanh,1,0,0
tôi cần mua áo sơ mi trắng,0,1,1
tôi cần mua áo sơ mi trắng có đốm,0,0,1
tôi cần mua áo sơ mi slimfit,1,0,1
tôi cần mua áo sơ mi regular fit,0,1,0
tôi cần mua áo sơ mi dễ phối đồ,0,1,0
tôi cần mua áo sơ mi hiện đại,1,1,1
tôi cần mua áo sơ mi trẻ trung,1,1,1
tôi gầy nên chọn bộ nào,0,1,0
tôi béo nên chọn bộ nào,1,0,1
tôi cân đối nên chọn bộ nào,1,1,1
tôi thích màu đơn giản nên chọn bộ nào,1,1,0
tôi thích có họa tiết nên chọn bộ nào,1,0,1
tôi muốn mua áo sơ mi rẻ nhất,0,1,0
tôi muốn mua áo sơ mi đắt nhất,1,0,0
tôi muốn mua áo sơ mi,1,1,1
tôi muốn mua áo sơ mi xanh,1,0,0
tôi muốn mua áo sơ mi trắng,0,1,1
tôi muốn mua áo sơ mi trắng có đốm,0,0,1
tôi muốn mua áo sơ mi slimfit,1,0,1
tôi muốn mua áo sơ mi regular fit,0,1,0
tôi muốn mua áo sơ mi dễ phối đồ,0,1,0
tôi muốn mua áo sơ mi hiện đại,1,1,1
tôi muốn mua áo sơ mi trẻ trung,1,1,1
mình cần mua áo sơ mi,1,1,1
mình cần mua áo sơ mi xanh,1,0,0
mình cần mua áo sơ mi trắng,0,1,1
mình cần mua áo sơ mi trắng có đốm,0,0,1
mình cần mua áo sơ mi slimfit,1,0,1
mình cần mua áo sơ mi regular fit,0,1,0
mình cần mua áo sơ mi dễ phối đồ,0,1,0
mình cần mua áo sơ mi hiện đại,1,1,1
mình cần mua áo sơ mi trẻ trung,1,1,1
mình gầy nên chọn bộ nào,0,1,0
mình béo nên chọn bộ nào,1,0,1
mình cân đối nên chọn bộ nào,1,1,1
mình thích màu đơn giản nên chọn bộ nào,1,1,0
mình thích có họa tiết nên chọn bộ nào,1,0,1
mình muốn mua áo sơ mi rẻ nhất,0,1,0
mình muốn mua áo sơ mi đắt nhất,1,0,0
mình muốn mua áo sơ mi,1,1,1
mình muốn mua áo sơ mi xanh,1,0,0
mình muốn mua áo sơ mi trắng,0,1,1
mình muốn mua áo sơ mi trắng có đốm,0,0,1
mình muốn mua áo sơ mi slimfit,1,0,1
mình muốn mua áo sơ mi regular fit,0,1,0
mình muốn mua áo sơ mi dễ phối đồ,0,1,0
mình muốn mua áo sơ mi hiện đại,1,1,1
mình muốn mua áo sơ mi trẻ trung,1,1,1
cho tôi xem các mẫu áo sơ mi,1,1,1
các mẫu áo sơ mi của shop đâu cho mình tham khảo với ạ,1,1,1
shop có mẫu áo nào đẹp không ạ,1,1,1
sản phẩm nào bán chạy nhất shop mình ạ,0,1,0
bên mình có các mẫu nào bán chạy ạ,0,1,0
sản phẩm best seller của shop vậy ạ,0,1,1
mình có dáng khá thon mua áo sơ mi nào thì tôn dáng ạ,0,1,1