data,875930007961172,3818294515127025,1631364917815050
mình cần xem một vài mẫu giày,1,1,1
mình cần mua giày,1,1,1
toàn bộ mẫu giày của shop,1,1,1
tất cả mẫu giày của shop,1,1,1
các mẫu giày,1,1,1
các sản phẩm giày màu đen,1,1,0
mình cần mua giày màu đen,1,1,0
mình cần mua giày màu nâu,0,0,1
các sản phẩm giày màu nâu,0,0,1
mình cần mua giày tối giản,1,1,0
mình cần mua giày dễ phối đồ,1,1,1
mình cần mua giày thanh lịch,1,1,1
mình cần mua giày cá tính,0,0,1
mình cần mua giày đắt nhất,0,1,1
mình cần mua giày rẻ nhất,1,0,0
mình cần mua giày đi sự kiện,1,1,1
mình cần mua giày đi làm,1,1,0
mình cần mua giày êm ái ,1,1,1
mình cần mua giày chống trơn trượt,1,1,1
mình muốn mua giày,1,1,1
mình muốn mua giày màu đen,1,1,0
mình muốn mua giày màu nâu,0,0,1
mình muốn mua giày tối giản,1,1,0
mình muốn mua giày dễ phối đồ,1,1,1
mình muốn mua giày thanh lịch,1,1,1
mình muốn mua giày cá tính,0,0,1
mình muốn mua giày đắt nhất,0,1,1
mình muốn mua giày rẻ nhất,1,0,0
mình muốn mua giày đi sự kiện,1,1,1
mình muốn mua giày đi làm,1,1,0
mình muốn mua giày êm ái ,1,1,1
mình muốn mua giày chống trơn trượt,1,1,1
tôi cần mua giày,1,1,1
tôi cần mua giày màu đen,1,1,0
tôi cần mua giày màu nâu,0,0,1
tôi cần mua giày tối giản,1,1,0
tôi cần mua giày dễ phối đồ,1,1,1
tôi cần mua giày thanh lịch,1,1,1
tôi cần mua giày cá tính,0,0,1
tôi cần mua giày đắt nhất,0,1,1
tôi cần mua giày rẻ nhất,1,0,0
tôi cần mua giày đi sự kiện,1,1,1
tôi cần mua giày đi làm,1,1,0
tôi cần mua giày êm ái ,1,1,1
tôi cần mua giày chống trơn trượt,1,1,1
tôi muốn mua giày,1,1,1
tôi muốn mua giày màu đen,1,1,0
tôi muốn mua giày màu nâu,0,0,1
tôi muốn mua giày tối giản,1,1,0
tôi muốn mua giày dễ phối đồ,1,1,1
tôi muốn mua giày thanh lịch,1,1,1
tôi muốn mua giày cá tính,0,0,1
tôi muốn mua giày đắt nhất,0,1,1
tôi muốn mua giày rẻ nhất,1,0,0
tôi muốn mua giày đi sự kiện,1,1,1
tôi muốn mua giày đi làm,1,1,0
tôi muốn mua giày êm ái ,1,1,1
tôi muốn mua giày chống trơn trượt,1,1,1
mình cần mua giày mùa đông,1,0,1
mình cần mua giày mùa hè,0,1,0
mình muốn mua giày bền bỉ,1,1,1
mình muốn mua giày phù hợp cho trời mưa,1,0,1
mình cần mua giày cho buổi tiệc cưới,1,1,1
mình cần mua giày cho công việc văn phòng,1,1,0
tôi muốn mua giày thể thao,0,0,1
tôi muốn mua giày sang trọng,0,1,1
mình cần giày thoải mái để đi du lịch,1,1,1
mình muốn mua giày đi bộ đường dài,1,0,1
mình cần mua giày có lót êm,1,1,1
mình muốn mua giày chống nước,1,0,1
tôi cần mua giày cho mùa mưa,1,0,1
mình muốn giày da thật,1,1,1
tôi cần mua giày size lớn,1,1,1
mình cần giày phù hợp cho chân nhạy cảm,1,1,1
mình muốn giày nhẹ nhàng để đi bộ,1,1,1
mình cần giày dễ lau chùi,1,0,1
mình cần giày phối hợp với quần jean,1,1,1
mình muốn giày phối hợp với quần âu,1,1,0
mình cần giày trẻ trung năng động,0,1,1
tôi muốn mua giày cổ điển,1,1,0
mình muốn giày phù hợp với suit,1,1,0
tôi cần giày mang cho dịp lễ,1,1,1
tôi muốn giày mặc với đồ thể thao,0,0,1
mình cần mua giày giá hợp lý,1,0,0
mình cần giày chất lượng cao,1,1,1
mình muốn giày có độ bám tốt,1,1,1
mình cần mua giày dễ cởi,1,0,1
tôi cần mua giày cho mùa xuân,1,1,1
tôi cần mua giày cho mùa thu,0,1,1
mình muốn giày vừa năng động vừa thanh lịch,1,1,1
mình muốn giày dễ mang cho người lớn tuổi,1,1,1
tôi cần giày không gây đau chân,1,1,1
mình cần giày nhẹ cho trẻ em,1,1,1
mình cần mua giày đi biển,1,0,0
tôi muốn mua giày có đế chống sốc,1,1,1
mình cần mua giày đơn giản và bền,1,1,0
mình muốn giày dễ phối với đồ công sở,1,1,0
tôi muốn mua giày phong cách hiện đại,1,1,1
tôi muốn mua giày đang trend hiện tại,1,1,1
tôi muốn mua giày màu đỏ,0,0,0
tôi muốn mua giày màu trắng,0,0,0
tôi muốn mua giày màu xanh,0,0,0
tôi muốn mua giày màu hồng,0,0,0
tôi muốn mua giày màu vàng,0,0,0
tôi muốn mua giày màu xanh dương,0,0,0
tôi muốn mua giày màu xám,0,0,0
tôi muốn mua giày màu tím,0,0,0
tôi muốn mua giày màu cam,0,0,0
tôi muốn mua giày màu ghi,0,0,0
mình muốn mua giày màu đỏ,0,0,0
mình muốn mua giày màu trắng,0,0,0
mình muốn mua giày màu xanh,0,0,0
mình muốn mua giày màu hồng,0,0,0
mình muốn mua giày màu vàng,0,0,0
mình muốn mua giày màu xanh dương,0,0,0
mình muốn mua giày màu xám,0,0,0
mình muốn mua giày màu tím,0,0,0
mình muốn mua giày màu cam,0,0,0
mình muốn mua giày màu ghi,0,0,0
mình cần mua giày hợp với vest màu đen,1,1,1
mình cần mua giày phù hợp với vest màu trắng,1,1,0
mình cần mua giày phù hợp với vest màu xanh,1,1,1
mình cần mua giày phù hợp với vest màu be,1,1,1
giày sáng màu,0,0,0
mình muốn mua giày sáng màu,0,0,0
giày tối màu,1,1,1
mình muốn mua giày tối màu,1,1,1
sản phẩm giày,1,1,1
sản phẩm giày bán chạy nhất,1,1,1
sản phẩm giày best seller,1,1,1
giày xấu,0,0,0
sản phẩm xấu,0,0,0